column,ks_score,FDR,rank_ks,rank_FDR,average_rank
Fraud,1.0,1.0,431.5,431.5,431.5
card_zip_total_7,0.6770659135414366,0.6280752532561505,430.0,430.0,430.0
card_merch_total_7,0.6734318868000837,0.6266280752532561,429.0,428.5,428.75
card_merch_total_3,0.6671943330328367,0.622286541244573,427.0,426.0,426.5
card_zip_total_14,0.6599975733831787,0.6266280752532561,422.0,428.5,425.25
card_zip_total_3,0.6666406316931872,0.6208393632416788,426.0,424.5,425.25
card_merch_total_14,0.6602576411775373,0.6251808972503617,423.0,427.0,425.0
card_state_total_3,0.6624809047492355,0.6208393632416788,424.0,424.5,424.25
card_state_total_7,0.6638498665394136,0.5947901591895803,425.0,423.0,424.0
card_state_total_14,0.672234693511195,0.5340086830680174,428.0,416.5,422.25
card_zip_total_30,0.6558500663313104,0.5701881331403763,421.0,419.5,420.25
card_merch_total_1,0.6445372285689859,0.5716353111432706,418.0,421.0,419.5
card_state_total_1,0.6436773621735845,0.5803183791606368,417.0,422.0,419.5
card_merch_total_30,0.6452738276376877,0.557163531114327,419.0,418.0,418.5
card_zip_total_1,0.6433669012359163,0.5701881331403763,416.0,419.5,417.75
card_state_max_7,0.6307632288623078,0.5021707670043415,409.0,408.0,408.5
card_zip_max_14,0.6364861671378077,0.4848046309696092,415.0,400.5,407.75
card_zip_max_30,0.6315741934309199,0.4934876989869754,411.0,404.5,407.75
card_merch_max_14,0.6362694365563569,0.4848046309696092,414.0,400.5,407.25
card_merch_total_0,0.587550641046858,0.5267727930535456,397.0,415.0,406.0
card_state_total_0,0.5870500928990029,0.5340086830680174,395.0,416.5,405.75
card_state_max_14,0.6182113073977958,0.4978292329956584,405.0,406.0,405.5
card_state_total_30,0.6490058361002634,0.4587554269175108,420.0,390.5,405.25
card_merch_max_30,0.631309918788467,0.4833574529667149,410.0,399.0,404.5
card_zip_max_7,0.6337581930870713,0.4717800289435601,413.0,395.0,404.0
card_merch_max_7,0.6324703856257388,0.4717800289435601,412.0,395.0,403.5
card_state_max_3,0.6251674086263135,0.4804630969609262,408.0,398.0,403.0
card_zip_total_0,0.5867955897185255,0.5238784370477568,394.0,411.5,402.75
card_state_max_30,0.5886261028424782,0.492040520984081,398.0,403.0,400.5
Cardnum_total_3,0.5798264227766146,0.5209840810419681,389.0,410.0,399.5
card_merch_max_3,0.6218689058435501,0.4587554269175108,407.0,390.5,398.75
card_zip_max_3,0.6207699168604396,0.4587554269175108,406.0,390.5,398.25
Cardnum_total_7,0.5838017606749939,0.4934876989869754,392.0,404.5,398.25
merch_zip_total_1,0.5872552490835804,0.4645441389290883,396.0,393.0,394.5
merch_state_total_1,0.5914933257909816,0.4573082489146165,399.0,387.5,393.25
merch_state_total_0,0.559279219570471,0.5253256150506512,371.0,413.5,392.25
card_state_max_1,0.6010394654213447,0.4428364688856729,402.0,381.0,391.5
merch_zip_total_0,0.5583513535934396,0.5238784370477568,370.0,411.5,390.75
card_merch_max_1,0.5989952043489817,0.4341534008683068,401.0,377.0,389.0
card_zip_max_1,0.5975326457533193,0.4327062228654124,400.0,376.0,388.0
merch_zip_total_3,0.6052157081392961,0.4182344428364689,403.0,372.0,387.5
merch_state_total_3,0.6063469051075521,0.4153400868306802,404.0,370.0,387.0
merch_zip_max_0,0.5846870462266053,0.4399421128798842,393.0,379.0,386.0
merch_zip_max_1,0.5755259111014648,0.4442836468885673,387.0,382.5,384.75
merch_state_max_0,0.5808880398128982,0.4399421128798842,390.0,379.0,384.5
Cardnum_total_1,0.5463572957997604,0.4992764109985528,358.0,407.0,382.5
merch_zip_max_3,0.566728256555054,0.4573082489146165,376.0,387.5,381.75
merch_state_max_1,0.5667128314453748,0.4442836468885673,375.0,382.5,378.75
Cardnum_total_0,0.5410257947231301,0.5108538350217077,347.0,409.0,378.0
card_zip_max_0,0.5719406526361679,0.4008683068017366,385.0,366.5,375.75
merch_state_max_3,0.5540630172934622,0.4515195369030391,363.0,386.0,374.5
card_state_max_0,0.5702446251004997,0.4052098408104196,381.0,368.0,374.5
card_merch_max_0,0.5709940672980396,0.4008683068017366,382.0,366.5,374.25
Cardnum_max_7,0.5310574121914502,0.4862518089725036,341.0,402.0,371.5
merch_zip_total_7,0.5718539782103521,0.3444283646888567,384.0,358.0,371.0
Merchnum_max_0,0.5555422252138575,0.4196816208393632,366.0,373.0,369.5
merch_state_total_7,0.5652794982018172,0.3473227206946454,372.0,359.0,365.5
Cardnum_total_14,0.5294283380900024,0.4587554269175108,339.0,390.5,364.75
Cardnum_max_3,0.5392403327131609,0.4457308248914616,345.0,384.0,364.5
Cardnum_max_14,0.5050992674809063,0.5253256150506512,313.0,413.5,363.25
card_zip_avg_30,0.5827590855843624,0.2735166425470333,391.0,334.5,362.75
Merchnum_total_3,0.5559880843364867,0.3227206946454414,368.0,355.0,361.5
card_state_avg_7,0.5671658800491386,0.2879884225759768,377.0,345.5,361.25
Cardnum_max_0,0.5440528778992167,0.406657018813314,353.0,369.0,361.0
card_state_avg_3,0.5692199125834773,0.280752532561505,380.0,341.0,360.5
Merchnum_total_0,0.5373031570703305,0.4283646888567294,344.0,375.0,359.5
merch_zip_max_7,0.5141993699209961,0.4790159189580318,322.0,397.0,359.5
card_merch_avg_30,0.5789656437845366,0.2691751085383502,388.0,330.5,359.25
Merchnum_total_1,0.5458786944890535,0.3690303907380607,356.0,362.0,359.0
Cardnum_max_1,0.5368338597940332,0.4254703328509406,342.0,374.0,358.0
Merchnum_max_1,0.5229746324611484,0.4399421128798842,336.0,379.0,357.5
card_state_avg_14,0.5546712741076045,0.2908827785817655,364.0,348.0,356.0
Cardnum_avg_7,0.5440502959183757,0.3632416787264833,352.0,360.0,356.0
card_state_avg_30,0.5497522889872263,0.2952243125904486,360.0,351.0,355.5
card_zip_avg_14,0.5732999765151036,0.2662807525325615,386.0,323.0,354.5
merch_state_avg_0,0.5553758877757163,0.2821997105643994,365.0,343.0,354.0
card_merch_avg_14,0.5718220373266731,0.2662807525325615,383.0,323.0,353.0
card_merch_avg_3,0.5684117080633503,0.2677279305354558,379.0,327.0,353.0
card_state_avg_1,0.5579122832997456,0.276410998552822,369.0,336.5,352.75
Cardnum_max_30,0.5213506332875603,0.4167872648335745,334.0,371.0,352.5
merch_zip_avg_0,0.553650456820299,0.2821997105643994,362.0,343.0,352.5
card_zip_avg_3,0.5665338734629507,0.2691751085383502,374.0,330.5,352.25
Merchnum_max_3,0.4963312834557106,0.4717800289435601,309.0,395.0,352.0
Cardnum_avg_3,0.5426911501070844,0.3140376266280753,350.0,354.0,352.0
card_merch_avg_0,0.5442529146390234,0.2908827785817655,354.0,348.0,351.0
Merchnum_avg_0,0.5494082177817148,0.2821997105643994,359.0,343.0,351.0
